Nome;Squadra;Ruolo;FM;Fuori lista
Hojlund;Napoli;A;0;
Openda;Juventus;A;0;
Rabiot;Milan;C;0;
Nkunku;Milan;A;0;
Zhegrova;Juventus;C;0;
Vardy;Cremonese;A;0;
Orban G.;Verona;A;0;
Oristanio;Parma;C;6;
Pedro;Lazio;A;5,75;
Stengs;Pisa;C;0;
Stulic;Lecce;A;5,5;
Zaniolo;Udinese;C;0;
Elmas;Napoli;C;0;
Cutrone;Parma;A;10;
Vazquez;Cremonese;C;10;
Tourè I.;Pisa;C;6,5;
Anjorin;Torino;C;0;
Ferguson;Bologna;C;0;
Brescianini;Atalanta;C;0;
Nicolussi Caviglia;Fiorentina;C;0;
Belotti;Cagliari;A;0;
Sottil;Lecce;C;5,5;
Pierotti;Lecce;C;6;
Cornet;Genoa;C;0;
Pellegrini Lo.;Roma;C;0;
Bisseck;Inter;D;5;
Akanji;Inter;D;0;
De Vrij;Inter;D;0;
Perrone;Como;C;5,75;
Caqueret;Como;C;0;
Malinovskyi;Genoa;C;6;
Gaspar K.;Lecce;D;5,5;
Luvumbo;Cagliari;A;6,25;
Bondo;Cremonese;C;5,75;
Hernani;Parma;C;0;
Dominguez B.;Bologna;A;0;
Fabbian;Bologna;C;6;
Idzes;Sassuolo;D;5,5;
Comuzzo;Fiorentina;D;6,25;
Addai;Como;A;0;
Moumbagna;Cremonese;A;0;
Baldanzi;Roma;C;0;
Pongracic;Fiorentina;D;5,5;
Gabbia;Milan;D;6;
Lorran;Pisa;C;0;
Ondrejka;Parma;C;0;
Pisilli;Roma;C;0;
Helgason;Lecce;C;0;
Ehizibue;Udinese;D;5,75;
Holm;Bologna;D;0;
Kolasinac;Atalanta;D;0;
Djimsiti;Atalanta;D;5,5;
Kilicsoy;Cagliari;A;0;
Masini;Genoa;C;6,25;
Karlstrom;Udinese;C;6,25;
Suslov;Verona;C;0;
Boloca;Sassuolo;C;5,75;
Aebischer;Pisa;C;5,75;
Harroui;Verona;C;5,75;
Niasse;Verona;C;5,5;
Adopo;Cagliari;C;6;
Vecino;Lazio;C;0;
Bella-Kotchap;Verona;D;5;
Athekame;Milan;D;0;
Candè;Sassuolo;D;5,5;
Darmian;Inter;D;0;
Juan Jesus;Napoli;D;6;
Meister;Pisa;A;5,25;
Benedyczak;Parma;A;0;
Dallinga;Bologna;A;6;
Almqvist;Parma;A;6;
Moreo;Pisa;A;6;
Sorensen O.;Parma;C;5,5;
Ellertsson;Genoa;C;6,25;
Volpato;Sassuolo;C;7,5;
Troilo;Parma;D;0;
Terracciano F.;Cremonese;D;7,75;
Marì;Fiorentina;D;4,5;
Maripan;Torino;D;6,5;
Celik;Roma;D;0;
Zappa;Cagliari;D;5,75;
Cuadrado;Pisa;D;5,75;
Audero;Cremonese;P;4,75;
Bayo V.;Udinese;A;5,75;
Borrelli;Cagliari;A;5,25;
Johnsen;Cremonese;A;0;
Piotrowski;Udinese;C;5,75;
Ordonez C.;Parma;C;5,5;
Konè I.;Sassuolo;C;3,5;
Pierret;Lecce;C;0;
Gilmour;Napoli;C;0;
Ilic;Torino;C;6;
Messias;Genoa;C;5,5;
Thorsby;Genoa;C;6;
Zielinski;Inter;C;0;
Belghali;Verona;D;5,5;
Canestrelli;Pisa;D;6,25;
Tiago Gabriel;Lecce;D;6;
Coco;Torino;D;5,5;
Caracciolo A.;Pisa;D;6,25;
Marin M.;Pisa;C;5,5;
Prati;Cagliari;C;6,25;
Ramadani;Lecce;C;6;
Gineitis;Torino;C;4,75;
Berisha M.;Lecce;C;5,5;
Vranckx;Sassuolo;C;5,5;
Tameze;Torino;C;5;
Mazzitelli;Cagliari;C;5,5;
Deiola;Cagliari;C;6;
Siebert;Lecce;D;0;
Heggem;Bologna;D;7;
Ghilardi;Roma;D;0;
Dossena;Como;D;0;
Ebosse;Verona;D;5;
Parisi;Fiorentina;D;5,5;
Walukiewicz;Sassuolo;D;5,5;
Ceccherini;Cremonese;D;0;
Sabelli;Genoa;D;0;
Banda;Lecce;A;5;
Cremaschi;Parma;C;0;
Miller L.;Udinese;C;0;
Bernede;Verona;C;5,5;
Venturino;Genoa;C;0;
Keita M.;Parma;C;5,25;
Payero;Cremonese;C;5,75;
Matic;Sassuolo;C;5;
Kastanos;Verona;C;0;
Ndiaye;Parma;D;0;
Kouassi;Lecce;D;6;
Nelsson;Verona;D;4,75;
Unai Nunez;Verona;D;5;
Goglichidze;Udinese;D;6;
Posch;Como;D;0;
Cabal;Juventus;D;0;
Diego Carlos;Como;D;0;
Spinazzola;Napoli;D;6;
De Silvestri;Bologna;D;6;
Albiol;Pisa;D;0;
Noslin;Lazio;A;0;
Pierini;Sassuolo;A;0;
Piccinini G.;Pisa;C;6;
Al-Musrati;Verona;C;5,5;
Miretti;Juventus;C;0;
Asllani;Torino;C;5,5;
Musah;Atalanta;C;6,5;
Grassi;Cremonese;C;5;
Zè Pedro;Cagliari;D;0;
Floriani Mussolini;Cremonese;D;6,5;
Folino;Cremonese;D;0;
Valentini N.;Verona;D;0;
Ahanor;Atalanta;D;0;
Faye;Cremonese;D;0;
Marianucci;Napoli;D;0;
Frese;Verona;D;5,25;
Pedersen;Torino;D;6;
Viti;Fiorentina;D;6;
Romagna;Sassuolo;D;5;
N'Dri;Lecce;A;0;
Cheddira;Sassuolo;A;0;
Sala A.;Lecce;C;0;
Richardson;Fiorentina;C;0;
Felici;Cagliari;C;0;
Sarmiento J.;Cremonese;C;0;
Lipani;Sassuolo;C;5,5;
Sergi Roberto;Como;C;6;
Odenthal;Sassuolo;D;0;
Veiga D.;Lecce;D;5,25;
Lamptey;Fiorentina;D;0;
Zemura;Udinese;D;5,75;
Bradaric;Verona;D;5,5;
Zanoli;Udinese;D;0;
Casale;Bologna;D;5,5;
Tsimikas;Roma;D;0;
Calabresi;Pisa;D;6;
Pellegrini Lu.;Lazio;D;5,75;
Masina;Torino;D;4,5;
Frigan;Parma;A;0;
Iannoni;Sassuolo;C;0;
Rafia;Lecce;C;0;
Moro N.;Bologna;C;5,5;
Kostic;Juventus;C;7,5;
Ziolkowski;Roma;D;0;
Idrissi R.;Cagliari;D;6;
Palma;Udinese;D;0;
Mateus Lusuardi;Pisa;D;6;
Gigot;Lazio;D;0;
Moreno Alb.;Como;D;0;
Patric;Lazio;D;0;
Muric;Sassuolo;P;3,5;
Liteta;Cagliari;C;0;
Zarraga;Udinese;C;5,75;
Maleh;Lecce;C;0;
Rui Modesto;Udinese;D;0;
Coulibaly W.;Sassuolo;D;0;
Nkounkou;Torino;D;0;
Kabasele;Udinese;D;0;
Goldaniga;Como;D;0;
Hysaj;Lazio;D;0;
De Luca;Cremonese;A;10;
Ekuban;Genoa;A;6;
Milik;Juventus;A;0;
Belahyane;Lazio;C;7,5;
Odogu;Milan;D;0;
Fortini;Fiorentina;D;0;
Smolcic I.;Como;D;5,5;
Slotsager;Verona;D;0;
Bartesaghi;Milan;D;0;
Bonfanti;Pisa;D;0;
Paz Y.;Sassuolo;D;0;
Schuurs;Torino;D;0;
Mazzocchi;Napoli;D;0;
Rugani;Juventus;D;0;
Ravaglia F.;Bologna;P;0;
Onana J.;Genoa;C;0;
Sabiri;Fiorentina;C;0;
Denoon;Pisa;D;5,5;
Pieragnolo;Sassuolo;D;0;
Coppola F.;Pisa;D;0;
Oyegoke;Verona;D;0;
Rouhi;Juventus;D;0;
Di Pardo;Cagliari;D;0;
Bianchetti;Cremonese;D;6,25;
Ekhator;Genoa;A;5;
Okereke;Cremonese;A;6;
Pavoletti;Cagliari;A;0;
Estevez;Parma;C;0;
Leris;Pisa;C;0;
Valoti;Cremonese;C;0;
Otoa;Genoa;D;0;
Jean;Lecce;D;0;
Dembelè A.;Torino;D;0;
Scuffet;Pisa;P;0;
Santiago;Verona;C;0;
Hojholt;Pisa;C;0;
Marchwinski;Lecce;C;0;
Kaba;Lecce;C;6;
Akpa Akpro;Verona;C;0;
Britschgi;Parma;D;0;
Ndaba;Lecce;D;0;
Mbambi;Pisa;D;0;
Esteves T.;Pisa;D;0;
Marcandalli;Genoa;D;6,5;
Arena A.;Roma;A;0;
Gueye;Udinese;A;0;
Ambrosino;Napoli;A;0;
Balentien;Milan;A;0;
Buffon L.;Pisa;A;0;
Skjellerup;Sassuolo;A;0;
Moro L.;Sassuolo;A;0;
Njie;Torino;A;0;
Vergara;Napoli;C;0;
Vural;Pisa;C;0;
Cuenca H.;Genoa;C;0;
Adzic;Juventus;C;0;
Ilkhan;Torino;C;5;
Basic;Lazio;C;0;
Rog;Cagliari;C;0;
Rodriguez Ju.;Cagliari;D;0;
Kouadio;Fiorentina;D;0;
Cham;Verona;D;5,5;
Perez M.;Lecce;D;0;
Palacios T.;Inter;D;0;
Sernicola;Cremonese;D;0;
Cavlina;Como;P;0;
Toniolo;Verona;P;0;
Nunziante;Udinese;P;0;
Pessina Mas.;Bologna;P;0;
Zelezny;Roma;P;0;
Siegrist;Genoa;P;0;
Torriani;Milan;P;0;
Corvi;Parma;P;0;
Samooja;Lecce;P;0;
Furlanetto;Lazio;P;0;
Popa;Torino;P;0;
Martinelli T.;Fiorentina;P;0;
Rinaldi;Parma;P;0;
Paleari;Torino;P;0;
Ciocci;Cagliari;P;0;
Contini;Napoli;P;0;
Vigorito;Como;P;0;
Fruchtl;Lecce;P;0;
Nicolas;Pisa;P;0;
Silvestri;Cremonese;P;0;
Satalino;Sassuolo;P;0;
Pinsoglio;Juventus;P;0;
Di Gennaro;Inter;P;0;
Gollini;Roma;P;0;
Padelli;Udinese;P;0;
Perilli;Verona;P;0;
Sommariva;Genoa;P;0;
Lezzerini;Fiorentina;P;0;